Patron ID,First Name,Last Name,Date Entered,Primary Email,Company,Salutation,Title,Tags,Gender,Marital Status,Background Info,Constituent Type,Secondary Email,Donation Amount Tot,Donation Amount Recent,Donation Date
8977,James,Baker,"January 19, 2020",walkerjeremy@long.org,,Dr,,['Student Scholar'],Unknown,Unknown,Unknown,Person,hfoster@yahoo.com,,,
2798,Jessica,Sheppard,"August 20, 2019",tarasanchez@robinson.com,,Mr,Graphic Designer,"['Summer 2016', 'Major Donor']",Married,Married,Graphic Designer ; Married,Person,cgreen@hotmail.com,,,
3660,,,"March 20, 2018",wcochran@hotmail.com,Vaughn Llc,,,['Summer 2016'],Married,Married,Married,Company,mckeeeric@ellis.com,,,
5966,Jared,Burns,"April 24, 2024",gmartinez@koch.org,,Dr,Administrative Assistant,"['Pitch Perfect', 'Major Donor']",Single,Single,Administrative Assistant ; Single,Person,,,,"February 14, 2024"
5034,Courtney,Haney,"July 02, 2017",,Lawrence Llc,Mr,,"['Pitch Perfect', 'Pitch Perfect']",Unknown,Married,Married,Person,,,,"July 25, 2022"
5287,,,"October 30, 2021",theodorewilson@blair.com,Retired,,,"['Major Donor', 'Student Scholar', 'Board Member', 'Student Scholar']",Unknown,Unknown,Unknown,Company,stephenweeks@barron.com,,,"August 15, 2023"
8101,James,Pope,"May 09, 2019",howardcarlos@gmail.com,,Ms,Sales Executive,[],Married,Married,Sales Executive ; Married,Person,,,,"April 02, 2023"
8548,Nicholas,Cooper,"September 25, 2022",laurenfields@yahoo.com,,,,"['Summer 2016', 'Pitch Perfect', 'Board Member']",Unknown,Unknown,Unknown,Person,oserrano@hotmail.com,,,"January 01, 2022"
7040,Patrick,Woods,"April 19, 2022",vanessa45@yaho.com,,,,['Summer 2016'],Unknown,Unknown,Unknown,Person,,,,"July 25, 2024"
6523,Michele,Burton,"December 31, 2016",,,Mr,,"['Major Donor', 'Major Donor', 'Camp 2016']",Unknown,Married,Married,Person,,,,
9432,,,"February 13, 2021",perezsarah@yahoo.com,"Green, Evans And Evans",,Marketing Manager,"['Summer 2016', 'Student Scholar']",Married,Married,Marketing Manager ; Married,Company,,,,"June 20, 2019"
3194,David,Villanueva,"December 16, 2022",collierdiana@ortiz.com,,,Marketing Manager,"['Camp 2016', 'Pitch Perfect', 'Student Scholar']",Unknown,Unknown,Marketing Manager ; Unknown,Person,,,,"March 23, 2020"
6339,Allen,Valentine,"October 15, 2022",mckaylinda@hotmail.com,,,Operations Manager,"['Student Scholar', 'Major Donor']",Single,Single,Operations Manager ; Single,Person,,,,"July 24, 2022"
3054,Cody,Wright,"August 05, 2022",yjohns@bass.com,,Dr,,"['Major Donor', 'Board Member', 'Major Donor']",Unknown,Unknown,Unknown,Person,,,,
9827,Cynthia,Vasquez,"September 12, 2021",ryan82@yahoo.com,,Ms,Business Analyst,"['Board Member', 'Major Donor']",Married,Married,Business Analyst ; Married,Person,mark55@yahoo.com,,,"December 26, 2024"
1288,Rebecca,Maynard,"June 23, 2021",fsteele@hotmail.com,,Mrs,Data Scientist,"['Summer 2016', 'Major Donor']",Single,Married,Data Scientist ; Married,Person,john56@stone.org,,,"April 01, 2023"
5032,,,"March 21, 2018",allen24@yahoo.com,Johnson-Mills,,,"['Major Donor', 'Major Donor 2022', 'Pitch Perfect', 'Major Donor']",Unknown,Unknown,Unknown,Company,,,,"December 13, 2021"
3240,,,"March 09, 2018",hartjames@hotmail.com,Davis-Anthony,,Nurse Practitioner,['Pitch Perfect'],Unknown,Unknown,Nurse Practitioner ; Unknown,Company,hhoward@silva.org,,,"September 16, 2020"
8308,Robert,Donovan,"January 20, 2021",jennifernorton@hotmail.com,,Ms,,"['Pitch Perfect', 'Pitch Perfect']",Unknown,Unknown,Unknown,Person,,,,"April 27, 2020"
3434,Anne,Martinez,"May 23, 2018",mooresusan@yaho.com,,Dr,Financial Analyst,"['Major Donor', 'Major Donor', 'Major Donor', 'Board Member', 'Major Donor']",Single,Single,Financial Analyst ; Single,Person,,,,"August 02, 2021"
5049,Robert,Powers,"April 02, 2017",sperez@martinez.com,,Mrs,,"['Major Donor', 'Camp 2016', 'Pitch Perfect']",Unknown,Married,Married,Person,alexanderjoseph@hotmail.com,,,"August 04, 2024"
6846,James,Nichols,"February 04, 2022",andreahines@yahoo.com,,Rev,,"['Major Donor', 'Major Donor', 'Summer 2016', 'Major Donor']",Unknown,Unknown,Unknown,Person,courtneychang@hotmail.com,,,"March 11, 2020"
